Year,Period,Resolution
2025-2026,Jan/Feb,"Resolved: The possession of nuclear weapons is immoral."
2025-2026,Nov/Dec,"Resolved: The United States ought to prioritize green growth over degrowth."
2025-2026,Sept/Oct,"Resolved: The United States ought to eliminate plea bargaining."
2024-2025,Nationals,"Resolved: Creativity is a more powerful force than intelligence."
2024-2025,Mar/Apr,"Resolved: The United States ought to eliminate the use of eminent domain for the benefit of private corporations."
2024-2025,Jan/Feb,"Resolved: The United States ought to substantially increase its use of fossil fuel extraction."
2024-2025,Nov/Dec,"Resolved: State governments in the United States should end all judicial elections."
2024-2025,Sept/Oct,"Resolved: The United States ought to significantly strengthen its protection of domestic intellectual property rights."
2023-2024,Nationals,"Resolved: Belief in the supernatural is incompatible with belief in science."
2023-2024,Mar/Apr,"Resolved: The United States ought to establish a single-payer universal healthcare system."
2023-2024,Jan/Feb,"Resolved: The United States ought to substantially reduce its military presence in West Asia."
2023-2024,Nov/Dec,"Resolved: The United States ought to prohibit the use of profit-based prisons."
2023-2024,Sept/Oct,"Resolved: The United States ought to guarantee a right to housing."
2022-2023,Nationals,"Resolved: Humans are primarily driven by self-interest."
2022-2023,Mar/Apr,"Resolved: The United States ought to guarantee a right to reproductive freedom."
2022-2023,Jan/Feb,"Resolved: Justice requires open borders."
2022-2023,Nov/Dec,"Resolved: The People’s Republic of China ought to prioritize environmental protection over economic growth."
2022-2023,Sept/Oct,"Resolved: The United States ought to implement a single-payer universal healthcare system."
2021-2022,Nationals,"Resolved: On balance, societies benefit from religious belief and practice."
2021-2022,Mar/Apr,"Resolved: In a democracy, a free press ought to prioritize objectivity over advocacy."
2021-2022,Jan/Feb,"Resolved: The use of lethal autonomous weapons ought to be banned."
2021-2022,Nov/Dec,"Resolved: A public health emergency justifies limiting civil liberties."
2021-2022,Sept/Oct,"Resolved: The World Trade Organization ought to impose a moratorium on the enforcement of intellectual property rights for COVID-19 vaccines."
2020-2021,Nationals,"Resolved: A public health emergency justifies limiting civil liberties."
2020-2021,Mar/Apr,"Resolved: The United States ought to guarantee universal child care."
2020-2021,Jan/Feb,"Resolved: States ought to ban lethal autonomous weapons."
2020-2021,Nov/Dec,"Resolved: The United States ought to provide a federal jobs guarantee."
2020-2021,Sept/Oct,"Resolved: In a democracy, voting ought to be compulsory."
2019-2020,Nationals,"Resolved: Objective morality exists."
2019-2020,Mar/Apr,"Resolved: The United States ought to eliminate its use of economic sanctions."
2019-2020,Jan/Feb,"Resolved: States ought to eliminate their nuclear arsenals."
2019-2020,Nov/Dec,"Resolved: The United States ought to eliminate the use of predictive policing algorithms."
2019-2020,Sept/Oct,"Resolved: In the United States, colleges and universities ought not consider standardized test scores in undergraduate admissions."
2018-2019,Nationals,"Resolved: Violent revolution is a just response to oppression."
2018-2019,Mar/Apr,"Resolved: The United States ought to promote democracy in the Middle East."
2018-2019,Jan/Feb,"Resolved: The United States ought to grant legal personhood to natural ecosystems."
2018-2019,Nov/Dec,"Resolved: In a democracy, the public’s right to know ought to take precedence over the individual’s right to privacy."
2018-2019,Sept/Oct,"Resolved: In the United States, reporters ought to have the right to protect the identity of confidential sources."
2017-2018,Nationals,"Resolved: Targeted killing is a permissible foreign policy tool."
2017-2018,Mar/Apr,"Resolved: The United States ought to provide a Universal Basic Income."
2017-2018,Jan/Feb,"Resolved: Plea bargaining ought to be abolished in the United States criminal justice system."
2017-2018,Nov/Dec,"Resolved: Wealthy nations have an obligation to provide other nations with the means to satisfy their basic needs."
2017-2018,Sept/Oct,"Resolved: The United States ought to require periodic national service."
2016-2017,Nationals,"Resolved: Inaction in the face of injustice makes an individual morally culpable."
2016-2017,Mar/Apr,"Resolved: The United States ought to guarantee the right to housing."
2016-2017,Jan/Feb,"Resolved: Public health concerns justify compulsory vaccination."
2016-2017,Nov/Dec,"Resolved: The United States ought to limit the qualified immunity of law enforcement officers."
2016-2017,Sept/Oct,"Resolved: Countries ought to prohibit the production of nuclear power."
2015-2016,Nationals,"Resolved: Immigration ought to be recognized as a human right."
2015-2016,Mar/Apr,"Resolved: The United States ought to promote democracy in the Middle East."
2015-2016,Jan/Feb,"Resolved: In the United States criminal justice system, jury nullification ought to be used in the interest of justice."
2015-2016,Nov/Dec,"Resolved: In the United States, private ownership of handguns ought to be banned."
2015-2016,Sept/Oct,"Resolved: Adolescents ought to have the right to make autonomous medical choices."
2010-2011,Sept/Oct,"Resolved: States ought to provide a universal basic income."
2005-2006,Jan/Feb,"Resolved: The use of the state's power of eminent domain to promote private enterprise is unjust."
2000-2001,Sept/Oct,"Resolved: High school students in the United States should be required to perform community service."
